FeatureIndex	FileName	MSLevel	IsDecoy	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	FeatureQuantity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	Qscore2D	PerChargeIntensity	PerIsotopeIntensity
1	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	9105.350371	9110.976975	6	65.0237	65.366	20.54	65.0237	4.06814e+08	1.58136e+08	1.27082e+09	6	11	6	0.928945	0.999999999914119	4.95659e+07;2.31772e+08;7.77802e+07;3.8025e+07;9.00934e+06;661093	0;1.62924e+06;7.96794e+06;2.14394e+07;3.84161e+07;5.37409e+07;6.06834e+07;6.07629e+07;5.24262e+07;4.05858e+07;2.90598e+07;1.82476e+07;1.20344e+07;6.40751e+06;3.41247e+06
2	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	9106.338470	9111.965074	74	65.4333	71.5342	366.055	65.7611	4.87099e+08	1.22117e+08	1.81677e+09	6	11	6	0.940794	1	4.31178e+07;2.54932e+08;1.52475e+08;3.05619e+07;5.99026e+06;114805	644007;3.53906e+06;1.23792e+07;2.75844e+07;4.83514e+07;6.46065e+07;7.30159e+07;6.98363e+07;6.14535e+07;4.72469e+07;3.3143e+07;2.10255e+07;1.33282e+07;7.53115e+06;4.05829e+06
3	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	9203.326147	9209.004116	7	65.0237	66.5828	93.5468	65.0237	2.17508e+08	9.47963e+07	7.77792e+08	6	9	4	0.925493	0.999999999873483	3.03088e+07;1.05432e+08;7.8997e+07;2.77072e+06	44737.2;899490;4.80454e+06;1.09583e+07;1.97392e+07;2.68016e+07;3.19887e+07;3.21829e+07;2.93245e+07;2.19588e+07;1.53261e+07;1.10505e+07;6.51803e+06;3.74756e+06;2.208e+06
4	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	9204.320013	9209.997981	36	65.0237	67.868	170.658	65.0237	2.0388e+08	5.9127e+07	8.38425e+08	6	10	5	0.959042	1	4.30997e+07;1.24622e+08;3.35453e+07;2.58347e+06;75808	472458;2.65796e+06;6.30389e+06;1.35781e+07;2.08034e+07;2.69652e+07;3.05085e+07;2.89173e+07;2.42999e+07;1.83655e+07;1.33106e+07;8.64138e+06;5.23131e+06;2.64485e+06;1.65188e+06
5	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	9125.327568	9130.967909	3	65.0237	66.011	59.2363	65.0237	5.20591e+07	3.77648e+07	5.54805e+08	6	11	6	0.909533	0.879482376786737	8.04686e+06;2.14905e+07;1.43416e+07;6.50498e+06;1.63845e+06;36640.4	1.80359e+06;2.4849e+06;3.84899e+06;4.11763e+06;4.71664e+06;4.86623e+06;4.91166e+06;5.29873e+06;5.06595e+06;4.78582e+06;4.12727e+06;2.86017e+06;2.19445e+06;1.54217e+06;1.23849e+06
6	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	9124.324921	9129.965262	9	65.0866	67.1615	124.493	65.0866	5.14944e+07	3.07864e+07	4.89836e+08	6	10	5	0.900686	0.917192073326503	7.27162e+06;1.91615e+07;1.60646e+07;6.97172e+06;2.02503e+06	1.09452e+06;2.06029e+06;3.16644e+06;4.19685e+06;5.08456e+06;4.52178e+06;4.78666e+06;4.65412e+06;4.63586e+06;4.63978e+06;3.95532e+06;3.54621e+06;2.67113e+06;2.03082e+06;1.54458e+06
7	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	9123.330507	9128.970848	15	65.1532	67.1615	120.495	65.1532	6.81692e+07	2.62131e+07	3.8064e+08	6	10	5	0.936527	0.999898597514552	5.94103e+06;2.29691e+07;2.90966e+07;1.00898e+07;72667.8	658379;1.52479e+06;3.17631e+06;4.90801e+06;6.67982e+06;7.88721e+06;7.7809e+06;7.26006e+06;6.47609e+06;5.79191e+06;5.30223e+06;3.97672e+06;3.3163e+06;2.3601e+06;1.72877e+06
8	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	11874.048899	11881.415626	18	70.5698	71.6629	65.5835	70.8269	1.42257e+08	1.94703e+07	5.25098e+08	7	16	10	0.963494	1	2.47576e+06;1.9776e+07;1.72658e+07;1.40899e+07;1.86905e+07;2.26469e+07;2.39965e+07;1.52998e+07;6.29603e+06;1.71972e+06	0;284044;816444;2.77491e+06;6.7057e+06;1.13935e+07;1.56645e+07;1.89456e+07;1.96572e+07;1.81744e+07;1.57061e+07;1.18987e+07;8.18619e+06;5.48075e+06;3.31223e+06;1.8439e+06;938715;474009
9	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	9301.304447	9307.046998	7	65.0237	65.4333	24.5753	65.0237	4.37392e+07	1.84198e+07	1.36038e+08	6	8	3	0.931445	0.999999999923312	1.11869e+07;2.37865e+07;8.76583e+06	0;232157;971817;2.09724e+06;3.98771e+06;5.59372e+06;6.07563e+06;6.45969e+06;5.89969e+06;4.0832e+06;3.35951e+06;2.32962e+06;1.32388e+06;840828;484520
10	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	0	9225.311915	9231.006021	10	65.0237	67.0974	124.422	65.0237	2.77251e+07	1.72104e+07	4.06913e+08	6	10	5	0.947098	0.998414654359966	7.33037e+06;1.22969e+07;6.73844e+06;1.23439e+06;124993	1.02471e+06;1.13307e+06;1.62466e+06;2.12344e+06;2.66488e+06;2.89272e+06;3.70171e+06;3.27013e+06;2.91482e+06;2.7287e+06;1.77021e+06;1.46401e+06;551857;663469;221435
