Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue
1	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	925.835249	925.304699	117724	1	1	2	0.99105	0.99105	1	0.334089	0.334089	0.0329096	1	926.311951	927.314392	0.931078	0.931078	0.392452
2	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	1046.660402	1046.056952	153164	1	1	2	0.985335	0.985335	1	0.306581	0.306581	0.990346	1	1047.065063	1048.065308	0.909173	0.909173	0.601736
3	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	1	65.023683	42	1202.101050	1201.437815	175793	1	1	2	0.976782	0.976782	1	0.480531	0.480531	0	1	1202.445190	1203.391724	0.911225	0.911225	0
4	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	1262.007391	1261.271712	184068	1	1	2	0.970996	0.970996	1	0.38671	0.38671	1.15998	1	1262.280396	1263.279785	0.878879	0.878879	0.811283
5	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	1278.221823	1277.472333	157104	1	1	2	0.96893	0.96893	1	0.554116	0.554116	0.23859	1	1278.479858	1279.481689	0.893670	0.893670	0.763928
6	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	1281.509325	1280.759835	129992	1	1	2	0.963896	0.963896	1	35.6256	35.6256	1.04715	1	1281.768433	1282.768066	0.921906	0.921906	0.504072
7	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	1	65.023683	42	1454.062410	1453.192158	114368	2	2	2	0.950708	0.950708	1	0.117804	0.612334	1.29973	2	727.602539	728.077759	0.811661	0.811661	0
8	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	1557.399434	1556.397923	119683	2	2	2	0.937083	0.937083	1	0.0248112	0.485372	1.05705	2	779.206909	779.706421	0.768858	0.768858	0.833991
9	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	1838.607088	1837.453443	138522	2	2	2	0.890453	0.890453	1	0.701252	0.701252	0.76298	2	919.733215	920.235779	0.598170	0.598170	0.871073
10	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	2177.894871	2176.540240	133408	2	2	2	0.85897	0.85897	1	0.386496	0.386496	0.280086	2	1089.277710	1089.778320	0.446537	0.446537	0.933236
11	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	1	65.023683	42	3156.158394	3154.318742	275354	3	3	3	0.866986	0.866986	1	0.27654	0.322038	1.46834	3	1052.760498	1053.395020	0.429944	0.429944	0
12	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	4106.048046	4103.462543	195209	4	4	3	0.863416	0.863416	1	1.86071	1.86071	0.554512	4	1027.124512	1027.624146	0.491179	0.491179	0.913789
13	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	4328.284681	4325.571529	169417	4	4	3	0.865077	0.865077	1	1.72021	1.72021	1.87865	4	1082.652466	1083.148804	0.437177	0.437177	0.933236
14	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	2	65.023683	42	4684.055721	4681.122038	663011	3	3	6	0.87365	0.87365	1	0.659046	0.659046	1.4191	3	1561.714966	1563.381592	0.479794	0.479794	0
15	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	1	65.023683	42	4878.217215	4875.328829	163882	5	6	3	0.853179	0.530004	1	0.61173	0.258667	1.43724	6	814.035095	814.191589	0.271323	0.271323	0
16	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	1	65.023683	42	4878.217215	4875.328829	163882	5	6	3	0.853179	0.530004	1	0.61173	0.258667	1.43724	6	814.035095	814.191589	0.271323	0.271323	0
17	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	1	65.023683	42	4878.217215	4875.328829	163882	5	6	3	0.853179	0.530004	1	0.61173	0.258667	1.43724	6	814.035095	814.191589	0.271323	0.271323	0
18	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	5346.456778	5343.139962	150359	5	5	3	0.856513	0.856513	1	0.585012	0.585012	1.17865	5	1070.038086	1070.436157	0.399862	0.399862	0.93352
19	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	45	0	65.023683	42	8951.818246	8946.280149	1.53512e+06	7	9	15	0.950714	0.882148	1	36.8156	18.0404	1.76446	8	1119.421265	1120.171509	0.882316	0.882316	0.794205
20	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	9053.887950	9048.296290	2.52186e+06	6	10	23	0.875002	0.863107	1	3.32674	4.94111	1.97725	9	1006.707825	1007.483398	0.495856	0.495856	0.913789
21	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	36	0	65.023683	42	9066.916370	9061.324710	2.70076e+06	7	8	18	0.912568	0.914933	1	17.3672	16.1553	1.89271	8	1133.670776	1135.297607	0.752524	0.966681	0.03125
22	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	9080.951839	9075.336985	2.45782e+06	7	9	19	0.959703	0.920027	1	9.43277	12.3342	1.55953	9	1009.380188	1010.490356	0.877815	0.877815	0.812793
23	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	15	0	65.023683	42	9095.963569	9090.336965	6.55483e+06	7	10	37	0.965723	0.944985	1	16.4268	58.0615	1.63031	7	1299.914795	1300.916626	0.894391	0.999888	0
24	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	1	0	65.023683	42	9110.975015	9105.348411	4.19487e+08	6	8	42	0.995234	0.995667	1	1842.49	998.058	0.979033	8	1139.177734	1140.802002	0.980630	1.000000	0
25	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	9	0	65.023683	42	9132.972520	9127.332179	1.68105e+07	6	7	26	0.970298	0.97675	1	227.551	180.893	0.735578	6	1522.234619	1524.066406	0.953986	0.995362	0
26	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	6	0	65.023683	42	9148.963152	9143.308636	2.36774e+07	6	9	52	0.977971	0.972822	1	239.068	154.021	1.18474	7	1307.198486	1309.052734	0.957649	1.000000	0
27	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	22	0	65.023683	42	9171.974351	9166.308106	4.61252e+06	6	7	24	0.895827	0.889816	1	39.9899	32.3515	1.14369	7	1310.478882	1312.343872	0.739992	0.973971	0
28	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	49	0	65.023683	42	9193.976584	9188.298615	1.42955e+06	6	7	13	0.910618	0.742739	1	9.60324	10.7558	1.36961	6	1532.554443	1534.232422	0.688814	0.688814	0.836516
29	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	3	0	65.023683	42	9209.003239	9203.325270	9.89498e+07	6	9	54	0.989016	0.991993	1	880.953	539.287	0.466462	8	1151.422119	1153.051758	0.976877	1.000000	0
30	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	4	0	65.023683	42	9210.008570	9204.330602	5.9127e+07	6	7	28	0.98886	0.987115	1	156.099	332.668	0.487498	7	1315.911621	1317.770996	0.964785	1.000000	0
31	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	8	0	65.023683	42	9231.007042	9225.312936	1.7094e+07	6	9	44	0.963764	0.973342	1	332.579	157.658	1.10717	7	1318.911743	1320.770630	0.949833	0.999160	0
32	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	11	0	65.023683	42	9247.989487	9242.283673	1.28958e+07	6	9	45	0.947946	0.947023	1	146.585	76.1823	1.10936	7	1321.336914	1323.195679	0.919182	1.000000	0
33	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	27	0	65.023683	42	9267.984729	9262.278915	3.68743e+06	6	7	23	0.90831	0.940503	1	63.0854	46.7375	1.11807	7	1324.188965	1326.048584	0.811772	0.999401	0
34	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	28	0	65.023683	42	9268.996665	9263.279150	3.66006e+06	6	7	22	0.922915	0.890566	1	58.3434	33.6165	1.12919	6	1545.220825	1546.725220	0.842103	0.959123	0.0461538
35	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	46	0	65.023683	42	9270.008349	9264.290834	1.52583e+06	6	6	10	0.891814	0.891814	1	34.0771	34.0771	0.781673	6	1545.220825	1546.725220	0.729472	0.838455	0.833991
36	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	7	0	65.023683	42	9307.047011	9301.304459	1.81372e+07	6	8	35	0.992147	0.987517	1	356.763	314.609	0.736854	7	1329.761841	1331.627686	0.972106	1.000000	0
37	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	18	0	65.023683	42	9329.123178	9323.284580	5.92166e+06	6	8	25	0.975841	0.97591	1	193.541	178.005	0.840499	6	1555.053833	1556.724731	0.955984	0.999991	0
38	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	24	0	65.023683	42	9346.109494	9340.259286	4.00276e+06	6	7	24	0.905356	0.94154	1	65.2641	69.5412	0.771587	6	1558.052246	1559.888794	0.809704	0.960936	0.03125
39	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	9367.106251	9361.256043	2.00876e+06	6	7	16	0.859647	0.960152	1	66.3408	105.087	1.81334	6	1561.714966	1563.052246	0.590240	0.590240	0.871184
40	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	34	0	65.023683	42	9405.182341	9399.279326	3.1259e+06	6	7	17	0.981705	0.947898	1	94.9884	79.4745	1.20675	6	1568.053223	1569.720215	0.950629	0.999997	0
41	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	9427.170580	9421.255674	860731	6	6	6	0.916859	0.916859	1	31.2507	31.2507	1.50115	6	1571.721191	1572.718262	0.797597	0.797597	0.833991
42	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	48	0	65.023683	42	9428.177003	9422.262097	1.44002e+06	6	7	11	0.944469	0.825957	1	30.3148	19.2875	1.60208	7	1347.618164	1348.194214	0.856082	0.948926	0.0913847
43	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	9437.454497	9431.539591	765347	7	8	8	0.861773	0.770115	1	16.1578	10.3747	1.60904	8	1180.448364	1180.953003	0.491712	0.491712	0.913789
44	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3098	nan	0	65.023683	42	9447.186283	9441.254973	544027	6	6	5	0.854997	0.854997	1	24.4543	24.4543	1.59621	6	1575.053101	1575.717529	0.501841	0.501841	0.913078
45	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	740.660679	740.251209	66074.6	1	1	2	0.936462	0.936462	1	0.300442	0.300442	1.06968	1	741.257751	742.205994	0.778935	0.778935	0
