Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	PrecursorScanNum	PrecursorFeatureIndex	PrecursorMz	PrecursorIntensity	PrecursorCharge	PrecursorSNR	PrecursorMonoisotopicMass	PrecursorQscore	PrecursorQscore2D	PrecursorQvalue	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue	
1	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	0	0.073501	207	947.054051	946.508206	100.209	1	1	13	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.988161	0.988161	1	93.3768	93.3768	1.03287	1	947.508705	948.522558	0.959293	0.959293	0
2	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	0	0.073501	207	964.092431	963.535213	177.86	1	1	15	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.989679	0.989679	1	100.242	100.242	0.523834	1	964.536418	965.551055	0.964371	0.964371	0
3	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	0	0.073501	207	975.060462	974.503245	149.027	1	1	14	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.983602	0.983602	1	67.8012	67.8012	0.47685	1	975.504300	976.518209	0.957157	0.957157	0
4	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	0	0.073501	207	992.098593	991.530037	260.459	1	1	16	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.986473	0.986473	1	82.4051	82.4051	0.265823	1	992.530385	993.546277	0.962375	0.962375	0
5	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	0	0.073501	207	1028.056367	1027.464027	127.408	1	1	14	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.984415	0.984415	1	74.15	74.15	0.581313	1	1028.463669	1029.479044	0.957749	0.957749	0
6	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	0	0.073501	207	1050.049625	1049.446176	378.201	1	1	21	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.995964	0.995964	1	287.643	287.643	0.789452	1	1050.446200	1052.464254	0.972849	0.972849	0
7	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	0	0.073501	207	1197.286604	1196.585983	122.535	1	1	13	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.977936	0.977936	1	57.0786	57.0786	0.328184	1	1197.586037	1198.601210	0.951780	0.951780	0
8	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	0	0.073501	207	1214.325283	1213.612799	111.672	1	1	13	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.977995	0.977995	1	57.8532	57.8532	0.279364	1	1214.612030	1215.628836	0.952360	0.952360	0
9	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	0	0.073501	207	1242.342576	1241.606897	226.158	1	1	15	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.975563	0.975563	1	4.07354	4.07354	0.334467	1	1242.605878	1243.624252	0.922243	0.922243	0
10	../workspaces-FLASHApp/demo_aqpz/flashdeconv/input-files/mzML-files/example_spectrum_aqpz.mzML	1	nan	0	0.073501	207	1256.358481	1255.622802	124.135	1	1	14	0	nan	5208.000000	0	0	nan	nan	nan	nan	nan	0.969233	0.969233	1	41.6562	41.6562	0.645335	1	1256.621307	1257.641101	0.936028	0.936028	0
