Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	PrecursorScanNum	PrecursorFeatureIndex	PrecursorMz	PrecursorIntensity	PrecursorCharge	PrecursorSNR	PrecursorMonoisotopicMass	PrecursorQscore	PrecursorQscore2D	PrecursorQvalue	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue	
1	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	577.564207	577.241847	82184.1	1	1	2	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.998086	0.998086	1	450.586	450.586	0.368883	1	578.249023	579.251831	0.977790	0.977790	0.00704225
2	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8018.823665	8013.832128	84441.9	5	5	5	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.917851	0.917851	1	43.8477	43.8477	1.44563	5	1604.168701	1604.977051	0.812201	0.812201	0.16815
3	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8035.846259	8030.854722	857891	5	5	10	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.992753	0.992753	1	262.915	262.915	0.409754	5	1607.378784	1609.180054	0.972456	0.972456	0.00967742
4	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8148.996025	8143.939449	268880	5	5	9	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.962581	0.962581	1	104.073	104.073	0.906485	5	1629.996216	1631.603516	0.934915	0.934915	0.05193
5	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8220.077909	8214.972911	60630.7	5	5	4	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.86682	0.86682	1	25.0384	25.0384	2.28193	5	1644.598511	1645.212769	0.533627	0.533627	0.218342
6	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8236.078652	8230.973655	762330	5	6	19	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.990648	0.988034	1	502.69	339.994	1.32265	5	1647.400635	1649.395142	0.970675	0.970675	0.0114679
7	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8305.137273	8299.994862	460324	5	5	9	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.980838	0.980838	1	210.712	210.712	0.758853	5	1661.405396	1663.007202	0.961127	0.961127	0.0273206
8	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8323.160157	8318.001714	2.49373e+06	5	6	24	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.998773	0.998523	1	3039.97	2812.05	1.06075	5	1664.601440	1667.010254	0.982645	0.982645	0.00704225
9	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8357.243704	8352.073618	205200	5	6	10	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.977928	0.972024	1	61.5667	142.742	2.85058	6	1393.358887	1394.693848	0.921410	0.921410	0.0818126
10	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3099	nan	0	65.037164	27	8436.311250	8431.093044	693125	5	6	18	3110	1	1301.772339	2.12184e+08	7	602.585	9105.352942	0.981982	1	0	0.978273	0.968387	1	212.501	126.138	1.48114	5	1687.624878	1689.227661	0.954673	0.954673	0.0336395
